id,topic,instruction,context,response,difficulty,language,tone,source_type,quality_score,split,tags
31,LLM,"In simple words, explain causal language modeling.",The model predicts text from left to right. Give a short answer.,Causal language modeling trains a model to predict the next token using only previous tokens in the sequence.,medium,English,interview,synthetic,5,train,"llm,clm"
32,LLM,"In simple words, what is next-token prediction?",Input tokens are already available up to the current position. Give a short answer.,Next-token prediction estimates the probability distribution of the token that should come next.,easy,English,teaching,synthetic,5,train,"llm,next-token"
33,LLM,"In simple words, what does attention do?",A sequence contains many tokens. Give a short answer.,Attention lets each token assign different importance to other relevant tokens when building its representation.,medium,English,interview,synthetic,5,train,"transformer,attention"
34,LLM,"In simple words, what is self-attention?","Queries, keys, and values are produced from the same sequence. Give a short answer.",Self-attention allows tokens in one sequence to interact with and weigh other tokens in that same sequence.,medium,English,teaching,synthetic,5,train,"transformer,self-attention"
35,LLM,"In simple words, why are positional embeddings needed?",Transformers process tokens in parallel. Give a short answer.,Positional information tells the model about token order because attention alone does not inherently encode sequence position.,medium,English,interview,synthetic,5,train,"transformer,position"
36,LLM,"In simple words, what is fine-tuning?",A pretrained language model already knows general language patterns. Give a short answer.,Fine-tuning continues training a pretrained model on a smaller task-specific dataset so it adapts to the desired behavior or domain.,easy,English,teaching,synthetic,5,train,"llm,fine-tuning"
37,LLM,"In simple words, what is instruction tuning?",The dataset contains instructions paired with good responses. Give a short answer.,Instruction tuning fine-tunes a model on instruction-response examples so it learns to follow user requests more effectively.,medium,English,interview,synthetic,5,train,"llm,instruction-tuning"
38,LLM,"In simple words, what is a context window?",A model receives a finite number of tokens at once. Give a short answer.,The context window is the maximum number of tokens the model can consider in a single input sequence.,easy,English,teaching,synthetic,5,train,"llm,context-window"
39,LLM,"In simple words, what is perplexity?",We want to evaluate a language model on text prediction. Give a short answer.,Perplexity is an exponentiated language-model loss; lower values generally indicate better next-token prediction on the evaluation data.,medium,English,interview,synthetic,5,validation,"llm,perplexity"
40,LLM,"In simple words, what is cross-entropy loss in an LLM?",The model outputs probabilities over the vocabulary. Give a short answer.,Cross-entropy loss penalizes the model when the probability assigned to the correct next token is low.,medium,English,teaching,synthetic,5,train,"llm,loss"
41,Python,Interview question: What is a Python list?,A beginner is learning Python collections.,"A Python list is an ordered, mutable collection that can store multiple values.",easy,English,interview,synthetic,5,train,"python,list"
42,Python,Interview question: Explain a Python dictionary.,The learner already knows lists.,A dictionary stores data as key-value pairs and provides fast lookup by key.,easy,English,interview,synthetic,5,train,"python,dictionary"
43,ML,Interview question: What is supervised learning?,The learner knows what a dataset is.,Supervised learning trains a model using labeled input-output examples.,easy,English,interview,synthetic,5,train,"ml,supervised"
44,ML,Interview question: What is unsupervised learning?,There are no target labels in the dataset.,"Unsupervised learning finds patterns or structure in unlabeled data, such as clusters.",easy,English,interview,synthetic,5,train,"ml,unsupervised"
45,ML,Interview question: What is overfitting?,A model performs very well on training data but poorly on new data.,Overfitting happens when a model memorizes training patterns and fails to generalize to unseen data.,easy,English,interview,synthetic,5,train,"ml,overfitting"
46,DL,Interview question: What is a neuron in a neural network?,Explain it to a beginner.,"A neuron receives inputs, multiplies them by weights, adds a bias, and applies an activation function.",easy,English,interview,synthetic,5,train,"dl,neuron"
47,DL,Interview question: Why do neural networks use activation functions?,"Without activation, layers would only perform linear transformations.",Activation functions introduce non-linearity so neural networks can learn complex patterns.,medium,English,interview,synthetic,5,train,"dl,activation"
48,DL,Interview question: What is backpropagation?,The model has produced a loss value.,Backpropagation computes gradients of the loss with respect to model parameters so the optimizer can update the weights.,medium,English,interview,synthetic,5,train,"dl,backpropagation"
49,LLM,Interview question: What is tokenization?,The input is a sentence that must be processed by a language model.,Tokenization splits text into smaller units called tokens and maps them to numeric token IDs.,easy,English,interview,synthetic,5,validation,"llm,tokenization"
50,LLM,Interview question: What is an embedding?,A token ID by itself does not capture semantic meaning.,An embedding is a dense numeric vector that represents a token or text in a learned vector space.,easy,English,interview,synthetic,5,train,"llm,embedding"
